pid,title,label,category,collection,layout,order,permalink
mountain,Tag: Mountain,Mountain,Landscape features,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/mountain/
musical-instruments,Tag: Musical instruments,Musical instruments,Things,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/musical-instruments/
new-testament,Tag: New Testament,New Testament,Religious,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/new-testament/
non-westerners,Tag: Non-Westerners,Non-Westerners,Persons/figures,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/non-westerners/
nude,Tag: Nude,Nude,Persons/figures,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/nude/
old-testament,Tag: Old Testament,Old Testament,Religious,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/old-testament/
ortelius,Tag: Ortelius,Ortelius,Collectors,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/ortelius/
peacock,Tag: Peacock,Peacock,Animals,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/peacock/
peasants,Tag: Peasants,Peasants,Persons/figures,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/peasants/
performers,Tag: Performers,Performers,Persons/figures,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/performers/
peter,Tag: Peter,Peter,Religious,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/peter/
pharisees,Tag: Pharisees,Pharisees,Religious,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/pharisees/
pieter-the-younger,Tag: Pieter the Younger,Pieter the Younger,Associated artists,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/pieter-the-younger/
preaching,Tag: Preaching,Preaching,Activities,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/preaching/
priests,Tag: Priests,Priests,Persons/figures,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/priests/
prisoners,Tag: Prisoners,Prisoners,Persons/figures,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/prisoners/
proverbs,Tag: Proverbs,Proverbs,Allegory/Proverbs and Allegory,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/proverbs/
purgatorye,Tag: Purgatorye,Purgatorye,Religious,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/purgatorye/
resting,Tag: Resting,Resting,Activities,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/resting/
river,Tag: River,River,Landscape features,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/river/
road,Tag: Road,Road,Transportation,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/road/
robbery,Tag: Robbery,Robbery,Activities,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/robbery/
rooster,Tag: Rooster,Rooster,Animals,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/rooster/
rosary,Tag: Rosary,Rosary,Things,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/rosary/
rubens,Tag: Rubens,Rubens,Associated artists,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/rubens/
ruins,Tag: Ruins,Ruins,Architecture,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/ruins/
sailors,Tag: Sailors,Sailors,Persons/figures,worktags_pieterbruegel,tagpage_pieterbruegel,,/pieterbruegel/tags/sailors/
